id,headline,google,deepl,dutch_lemmas,google_lemmas,deepl_lemmas
20671,Thuiszorg in zwart circuit,Home care in black circuit,Home care in black circuit,Thuiszorg in zwart circuit,home care in black circuit,home care in black circuit
26049,Centrale Banken blijven steunen,Continue to support Central Banks,Continuing to support central banks.,Centrale Bank blijven steunen,continue to support Central banks,continue to support central bank .
28489,Kabinet moet banendestructie aanpakken,Cabinet must tackle job destruction,Cabinet needs to tackle job destruction,kabinet moeten banendestructie aanpakken,cabinet must tackle job destruction,cabinet need to tackle job destruction
28877,Bank of Japan handhaaft omvang steunbeleid,Bank of Japan maintains size of support policy,Bank of Japan maintains size of support policy,Bank of Japan handhaaft omvang steunbeleid,Bank of Japan maintain size of support policy,Bank of Japan maintain size of support policy
33171,Luxemburg waarschuwt voor tweespalt Grexit,Luxembourg warns of a split Grexit,Luxembourg warns against double play Grexit,Luxemburg waarschuwen voor tweespalt Grexit,Luxembourg warn of a split Grexit,Luxembourg warn against double play Grexit
35149,Olieprijs vindt weg omhoog,Oil price finds way up,Oil price finds its way up,Olieprijs vinden weg omhoog,oil price find way up,oil price find its way up
42713,"Live - Varoufakis: Juncker las eigen plan niet, of lijdt aan ge","Live - Varoufakis: Juncker did not read his own plan, or suffers from ge","Live - Varoufakis: Juncker doesnt read his own plan, or suffers from a","live - Varoufakis : Juncker las eigen plan niet , of lijden aan ge","Live - Varoufakis : Juncker do not read he own plan , or suffer from ge","Live - Varoufakis : Juncker do not read he own plan , or suffer from a"
43269,Mogelijk 200 miljoen naheffing Brussel wegens hoger nationaal in,Possibly 200 million additional tax in Brussels due to higher national,Possible 200 million withholding tax in Brussels due to higher national tax rates.,mogelijk 200 miljoen naheffing Brussel wegens hoog nationaal in,possibly 200 million additional tax in Brussels due to higher national,possible 200 million withholde tax in Brussels due to higher national tax rate .
148571931,[Luchtvaart PARIJS. Luchtvaartmaatschappij Air Fran...]*,[Aviation PARIS. Airline Air France ...] *,[Airline PARIS. Airline Air Fran...]*,[ luchtvaart Parijs . Luchtvaartmaatschappij Air Fran ... ] *,[ Aviation Paris . airline Air France ... ] *,[ airline Paris . airline air Fran ... ] *
150277973,De pseudo-heffing die Feyenoord pijn doet ; Column,The pseudo-levy that hurts Feyenoord; Column,The pseudo levy that hurts Feyenoord; Column,de pseudo-heffing die Feyenoord pijn doen ; Column,the pseudo - levy that hurt Feyenoord ; column,the pseudo levy that hurt Feyenoord ; column
150280548,Economie is gebaat bij rust; Brief van de Dag,Economy benefits from rest; Letter of the Day,Economy benefits from rest; Letter of the Day,economie zijn baten bij rust ; brief van de dag,economy benefit from rest ; letter of the day,economy benefit from rest ; letter of the day
150280743,Huizenprijzen blijven stijgen,House prices keep rising,House prices continue to rise,Huizenprijs blijven stijgen,House price keep rise,House price continue to rise
150280865,Steunaankoop (I),Support purchase (I),Support purchase (I),Steunaankoop ( I ),support purchase ( I ),support purchase ( I )
150281185,Beleggersagenda,Investor agenda,Investor Diary,Beleggersagenda,investor agenday,investor Diary
150281436,Weer uitstel openheid naheffing,Again delay openness additional tax,"Again, postponement of the opening of the tax system",weer uitstel openheid naheffing,again delay openness additional tax,"again , postponement of the opening of the tax system"
150281689,Mkb krijgt meer,SMEs get more,SMEs get more,Mkb krijgen veel,SMEs get more,SMEs get more
150281780,"Inflatiedoel in zicht; Geldontwaarding volgens ECB naar 1,8% in 2017",Inflation target in sight; Money depreciation according to ECB to 1.8% in 2017,Inflation target in sight; ECB monetary devaluation to 1.8% in 2017,"Inflatiedoel in zicht ; Geldontwaarding volgens ECB naar 1,8% in 2017",inflation target in sight ; money depreciation accord to ECB to 1.8 % in 2017,inflation target in sight ; Ecb monetary devaluation to 1.8 % in 2017
150282064,Wat brengt TNT?,What does TNT bring?,What does TNT bring?,wat brengen TNT ?,what do Tnt bring ?,what do Tnt bring ?
150282473,Mes in eigen vlees voor meer zitplekken in trein,Knife in its own meat for more seats on the train,Knife in own meat for more seats in the train,Mes in eigen vlee voor veel zitplek in trein,knife in its own meat for more seat on the train,knife in own meat for more seat in the train
150284361,Maar we zijn hier in Emmen wel heel gelukkig,But we are very happy here in Emmen,But were very happy here in Emmen,maar we zijn hier in Emmen wel heel gelukkig,but we be very happy here in Emmen,but be very happy here in Emmen
150285134,We hebben dus de pest aan ouderen,So we hate the elderly,So we hate the elderly.,we hebben dus de pest aan oud,so we hate the elderly,so we hate the elderly .
150285160,Werkgevers torpederen caos,Employers destroy collective labor agreements,Employers torpedo collective agreements,Werkgever torpederen caos,Employer destroy collective labor agreement,Employer torpedue collective agreement
150285233,Net sluit zich rond Speed Events,Net joins Speed Events,Just closing in on Speed Events,net sluiten zich rond Speed Events,net join speed Events,just close in on speed Events
150285236,Grittenborgh als AZC,Grittenborgh as AZC,Grittenborgh as AZC,Grittenborgh als AZC,Grittenborgh as AZC,Grittenborgh as AZC
150285322,Coevorder voetbalclubs voorzien ondergang,Coevorder football clubs provide for ruin,Coevorder football clubs foresee ruin,Coevorde voetbalclub voorzien ondergang,Coevorder football club provide for ruin,Coevorder football club foresee ruin
150285464,"De extra bezuinigingen in 2013 waren niet nodig, maar ook niet schadelijk","The extra cuts in 2013 were not necessary, but also not harmful","The additional cuts in 2013 were not necessary, but not harmful either.","de extra bezuiniging in 2013 zijn niet nodig , maar ook niet schadelijk","the extra cut in 2013 be not necessary , but also not harmful","the additional cut in 2013 be not necessary , but not harmful either ."
150285689,IMF pleit voor wederopleving securitisaties voor mkbåÊ; Pogingen om deze markt nieuw leven in te blazen zijn onvoldoende,IMF calls for revival securitisations for SMEs; Attempts to breathe new life into this market are insufficient,IMF calls for revival of securitisations for SMEs; Attempts to revive this market are insufficient,IMF pleiten voor wederopleving securitisatie voor mkbåÊ ; poging om deze markt nieuw leven in te blazen zijn onvoldoende,Imf call for revival securitisation for SMEs ; attempts to breathe new life into this market be insufficient,Imf call for revival of securitisation for SMEs ; attempts to revive this market be insufficient
150286068,"ECB kan schuld kopen van BNG, Waterschapsbank en FMO","ECB can buy debt from BNG, Waterschapsbank and FMO","ECB can buy debt from BNG, Waterschapsbank and FMO","ECB kunnen schuld kopen van BNG , Waterschapsbank en FMO","ECB can buy debt from BNG , Waterschapsbank and FMO","ECB can buy debt from BNG , Waterschapsbank and FMO"
150286742,Duits cao-akkoord is kans voor Europa,German collective agreement is an opportunity for Europe,German collective agreement is an opportunity for Europe,Duits cao-akkoord zijn kans voor Europa,german collective agreement be a opportunity for Europe,german collective agreement be a opportunity for Europe
150286797,Afnemende groei hypotheken,Declining growth in mortgages,Decreasing growth in mortgages,Afnemend groei hypothek,Declin growth in mortgage,Decreas growth in mortgage
150286853,Olieprijs Malaise,Malaise oil price,Oil price Malaise,Olieprijs malaise,Malaise oil price,oil price Malaise
150287028,V&D stelt eventuele uitvoering loonsverlaging uit tot maart,V&D postpones any implementation of the salary reduction until March,V&D postpones any implementation of wage reduction until March,V&D stellen eventueel uitvoering loonsverlaging uit tot maart,V&d postpone any implementation of the salary reduction until March,V&d postpone any implementation of wage reduction until March
150287132,Griekenland is heel goed in staat om last van hoge overheidsschuld te dragen; Het is oneerlijk om te beweren dat de trojka Griekenland tot excessieve bezuinigingen heeft gedwongen,Greece is very capable of bearing high government debt; It is unfair to claim that the Troika has forced Greece into excessive spending cuts,Greece is perfectly capable of bearing the burden of high public debt; It is unfair to claim that the troika has forced Greece into excessive austerity measures,Griekenland zijn heel goed in staan om last van hoog overheidsschuld te dragen ; het zijn oneerlijk om te beweren dat de trojka Griekenland tot excessief bezuiniging hebben dwingen,Greece be very capable of bear high government debt ; it be unfair to claim that the Troika have force Greece into excessive spending cut,Greece be perfectly capable of bear the burden of high public debt ; it be unfair to claim that the troika have force Greece into excessive austerity measure
150287330,FINANCIÌÜLE AGENDA,FINANCIAL AGENDA,FINANCIAL AGENDA,FINANCIÌÜLE AGENDA,Financial agenday,Financial agenday
150287744,Redactie Telegraaf verzet zich tegen bezuinigingen,Editors Telegraaf opposes spending cuts,Editors Telegraaf resists cutbacks,Redactie Telegraaf verzetten zich tegen bezuiniging,Editors Telegraaf oppose spend cut,Editors Telegraaf resist cutback
150287941,5 - ontslagrecht,5 - dismissal law,5 - dismissal law,5 - ontslagrecht,5 - dismissal law,5 - dismissal law
150288147,Specialiseren om te overleven,Specialize for survival,Specializing to survive,specialiseren om te overleven,Specialize for survival,Specialize to survive
150288212,Hypotheekrente gaat omlaag,Mortgage interest rate goes down,Mortgage interest rates are going down.,Hypotheekrent gaan omlaag,Mortgage interest rate go down,Mortgage interest rate be go down .
150289787,Lufthansa-piloten staken,Lufthansa pilots strike,Lufthansa pilots strike,lufthansa-piloten staak,Lufthansa pilot 's strike,Lufthansa pilot 's strike
150289890,Rijke Rotterdammer moet starter helpen,Rich Rotterdammer must help starter,Rich Rotterdammer must help starter.,rijke Rotterdammer moeten starter helpen,Rich Rotterdammer must help starter,Rich Rotterdammer must help starter .
150290120,Asscher in actie voor eerlijk werk,Asscher in action for fair work,Asscher in action for fair work,Asscher in actie voor eerlijk werk,Asscher in action for fair work,Asscher in action for fair work
150290181,Verdraagt ons land protest der armen?,Does our country endure protest from the poor?,Does our country tolerate protest from the poor?,verdraagt ons land protest de arm ?,do we country endure protest from the poor ?,do we country tolerate protest from the poor ?
150291453,Partijen doen beloften alsof crisis er nooit is geweest,Parties make promises as if there was never a crisis,Parties make promises as if there has never been a crisis,partij doen beloften alsof crisis er nooit zijn zijn,party make promise as if there be never a crisis,party make promise as if there have never be a crisis
150291524,In 2030 geen import energie meer door VS,"In 2030, no more import energy from the US",In 2030 no more import of energy by the U.S.,in 2030 geen import energie veel door VS,"in 2030 , no more import energy from the US",in 2030 no more import of energy by the U.S.
150291795,Aandelenbezit risico voor lagere overheden,Share ownership risk for local authorities,Equity ownership risk for local governments,Aandelenbezit risico voor laag overheid,share ownership risk for local authority,equity ownership risk for local government
150292252,Staking tegen privatisering,Strike against privatization,Strike against privatisation,staking tegen privatisering,strike against privatization,strike against privatisation
150292674,Er is hulp onderweg voor het mkb,There is help on the way for SMEs,Theres help on the way for the SME,er zijn hulp onderweg voor het mkb,there be help on the way for SMEs,Ther help on the way for the Sme
150292968,Geldinjectie van ECB is ook psychologische aanjager,Money injection from ECB is also a psychological driver,Money injection from ECB is also psychological driver,Geldinjectie van ECB zijn ook psychologisch aanjager,money injection from ECB be also a psychological driver,money injection from ECB be also psychological driver
150759520,"Help, waar zijn al die banen?","Help, waar zijn al die banen?","Help, where are all these jobs?","Help , waar zijn al die ban ?","help , waar zijn al die banen ?","help , where be all these job ?"
150759764,Pon koopt in VS fietsfabrikant,Pon buys bicycle manufacturer in the USA,Pon buys in US bike manufacturer,Pon kopen in VS fietsfabrikant,pon buy bicycle manufacturer in the USA,Pon buy in US bike manufacturer
150760005,"Geen loonoffer, wel 400 banen weg bij V&D","No pay offer, but 400 jobs away at V&D","No wage sacrifice, as many as 400 jobs away from V&D","geen loonoffer , wel 400 ban weg bij V&D","no pay offer , but 400 job away at V&D","no wage sacrifice , as many as 400 job away from V&D"
150761251,Arbeidsverhoudingen Zzp-aftrek verdeelt vakbonden ; Economie Kort,Labor relations Self-employed tax relief divides trade unions; Economy Short,Labour relations Zzp-deduction divides trade unions ; Economy Short,Arbeidsverhouding Zzp-aftrek verdelen vakbond ; economie kort,Labor relation self - employ tax relief divide trade union ; economy short,Labour relation Zzp - deduction divide 's trade union ; economy Short
150761497,Griekse beurs ook dicht,Griekse beurs ook dicht,Greek stock market also closed,Grieks beurs ook dicht,Griekse beur ook dicht,greek stock market also close
150761515,EU-geld voor werkloosheid,EU money for unemployment,EU money for unemployment,EU-geld voor werkloosheid,EU money for unemployment,EU money for unemployment
163450725,Huurders en corporaties positief over plan Blok,Tenants and corporations positive about the Blok plan,Tenants and housing corporations positive about Blok plan,Huurder en corporatie positief over plan Blok,tenant and corporation positive about the Blok plan,tenant and housing corporation positive about Blok plan
163464792,Met nee houden we onze waardigheid,With no we keep our dignity,"No, we keep our dignity.",met nee houden we ons waardigheid,with no we keep we dignity,"no , we keep we dignity ."
163464805,"Drie jaar WW staat in de wet, maar blijkt een dood recht","Three years of unemployment benefit is in law, but turns out to be a dead right","Three years WW is in the law, but turns out to be a dead right","drie jaar Ww staan in de wet , maar blijken een dood recht","three year of unemployment benefit be in law , but turn out to be a dead right","three year WW be in the law , but turn out to be a dead right"
163500016,Minder ontslagbescherming en lagere WW moeten oudere aan werk krijgen,Less dismissal protection and lower unemployment benefits should get older people to work,Less protection against dismissal and lower unemployment rates should get older people into work,weinig ontslagbescherming en laag WW moeten oud aan werk krijgen,less dismissal protection and lower unemployment benefit should get older people to work,less protection against dismissal and lower unemployment rate should get older people into work
163500101,Huizenprijzen stijgen weer na verlies Labour,House prices rise again after Labor loss,House prices rise again after loss Labour,Huizenprijzen stijgen weer na verlies Labour,House price rise again after Labor loss,House price rise again after loss Labour
164107492,Regels over ontslag worden eenvoudiger,Rules about dismissal become easier,Rules on dismissal become simpler,regel over ontslag worden eenvoudiger,rule about dismissal become easier,rule on dismissal become simpler
164107570,"Niet slecht, gewoon arm","Not bad, just poor","Not bad, just poor","niet slecht , gewoon arm","not bad , just poor","not bad , just poor"
164107833,V&D : akkoord met een zwart randje,V&D: agree with a black edge,V&D : agreement with a black border,V&D : akkoord met een zwart rand,V&d : agree with a black edge,V&d : agreement with a black border
11745,Cyprus heft laatste restricties op na crisis,Cyprus lifts final restrictions after crisis,Cyprus removes latest restrictions after crisis,Cyprus hbben laat restrictie op na crisis,Cyprus lift final restriction after crisis,Cyprus remove latest restriction after crisis
12255,TSN Thuiszorg vreest honderden gedwongen ontslagen,TSN Thuiszorg fears hundreds of redundancies,TSN Homecare fears hundreds of redundancies,TSN Thuiszorg vrezen honderden dwingen ontslaan,TSN Thuiszorg fear hundred of redundancy,Tsn Homecare fear hundred of redundancy
12727,"Economie groeit met 0,4 procent",Economy is growing by 0.4 percent,Economy grows by 0.4 percent,"economie groeien met 0,4 procent",economy be grow by 0.4 percent,economy grow by 0.4 percent
13623,Rabobank verhoogt hypotheekrente,Rabobank raises mortgage rates,Rabobank increases mortgage interest rates,Rabobank verhooggen hypotheekrente,Rabobank raise mortgage rate,Rabobank increase mortgage interest rate
13921,Familiebedrijf is niet uit op snelle winst,Family business is not after fast profit,Family business is not about quick profits.,familiebedrijf zijn niet uit op snel winst,family business be not after fast profit,family business be not about quick profit .
14315,"PvdA, D66: verder praten; PVV: nu Grexit","PvdA, D66: talk further; PVV: now Grexit","PvdA, D66: talking more; PVV: now Grexit","PvdA , D66 : ver praat ; PVV : nu Grexit","Pvda , D66 : talk further ; Pvv : now Grexit","Pvda , D66 : talk more ; PVV : now Grexit"
15479,Eurolanden eens over conceptakkoord Griekenland,Euro countries agree on draft agreement in Greece,Eurocountries agree on a draft agreement with Greece.,Eurolanden eens over conceptakkoord Griekenland,Euro country agree on draft agreement in Greece,Eurocountries agree on a draft agreement with Greece .
16435,Dijsselbloem wil nog niet zeggen wanneer ABN wel naar beurs kan,Dijsselbloem does not yet say when ABN can go public,Dijsselbloem does not yet mean when ABN can go public.,Dijsselbloem willen nog niet zeggen wanneer ABN wel naar beurs kunnen,thDijsselbloey do not yet say when Abn can go public,thDijsselbloey do not yet mean when Abn can go public .
17355,Consumenten besteden wederom meer. Hun vertrouwen stijgt ook wee,Consumers again spend more. Their confidence also increases,Consumers again spend more. Their confidence is also rising.,Consument besteden wederom veel . hun vertrouwen stijgen ook wee,Consumers again spend more . they confidence also increase,Consumers again spend more . they confidence be also rise .
17403,Griekse minister: we hebben het geld niet voor volgende IMF-beta,Griekse minister: we hebben het geld niet voor volgende IMF-beta,Greek Minister: We dont have the money for next IMF beta,Grieks minister : we hebben het gellen niet voor volgennen IMF-beta,Griekse minister : we hebben het geld niet voor volgende IMF - beta,greek Minister : we do not have the money for next IMF beta
17825,Griekenland en schuldeisers: meer onderhandelingen nodig,Greece and creditors: more negotiations needed,Greece and creditors: more negotiations needed,Griekenland en schuldeiser : veel onderhandeling nodig,Greece and creditor : more negotiation need,Greece and creditor : more negotiation need
18203,Duizenden banen weg bij Air France,Duizenden banen weg bij Air France,Thousands of jobs away from Air France,duizend ban weg bij Air France,Duizenden banen weg bij Air France,thousand of job away from Air France
20099,Gesprekken met Griekenland weer zonder resultaat afgebroken,Conversations with Greece were interrupted again without result,Discussions with Greece again unsuccessfully broken off.,gesprek met Griekenland weer zonder resultaat afgebreken,conversation with Greece be interrupt again without result,discussion with Greece again unsuccessfully break off .
24207,DAF verhoogt productie met extra personeel,DAF increases production with extra staff,DAF increases production with additional personnel,Daf verhooggen productie met extra personeel,Daf increase production with extra staff,Daf increase production with additional personnel
25057,Best Buy schrapt 1500 banen,Best Buy scrapes 1500 jobs,Best Buy deletes 1500 jobs,best Buy schrappen 1500 ban,best buy scrape 1500 job,best buy delete 1500 job
25859,Meer faillissementen in maart,More bankruptcies in March,More bankruptcies in March,veel faillissement in maart,more bankruptcy in March,more bankruptcy in March
27865,Kansen in Duits vastgoed,Opportunities in German real estate,Opportunities in German real estate,kans in Duits vastgoed,opportunity in german real estate,opportunity in german real estate
30387,Optimisme over belastingen,Optimism about taxes,Optimism about taxes,Optimisme over belasting,Optimism about tax,Optimism about tax
31787,Dubbelfout bij crisistaks,Double error with crisis tax,Double fault in crisis tax,Dubbelfout bij crisistaks,double error with crisis tax,double fault in crisis tax
33737,Uitgaven consumenten nemen verder toe,Consumer spending continues to rise,Expenditure by consumers continues to rise,uitgaaf consument nemen verder toe,consumer spend continue to rise,Expenditure by consumer continue to rise
33933,Flinke stijging export Japan,Substantial increase in Japans exports,Substantial increase in exports from Japan,flink stijging export Japan,substantial increase in Japans export,substantial increase in export from Japan
35327,Inflatie daalt naar 0 procent: moeten we daar wel of niet blij m,Inflation falls to 0 percent: should we be happy or not?,Inflation declines to 0 percent: Should we or should we not be happy there?,Inflatie dalen naar 0 procent : moeten we daar wel of niet blij m,inflation fall to 0 percent : should we be happy or not ?,inflation decline to 0 percent : should we or should we not be happy there ?
36159,Heijmans in het rood door bouwmalaise,Heijmans in red due to construction malaise,Heijmans in red due to building malaise,Heijmans in het rood door bouwmalaise,Heijmans in red due to construction malaise,Heijmans in red due to building malaise
39853,IMF schetst zwart scenario voor Griekenland,IMF outlines black scenario for Greece,IMF outlines black scenario for Greece,IMF schetsen zwart scenario voor Griekenland,Imf outlines black scenario for Greece,Imf outlines black scenario for Greece
40067,82 werknemers weg bij crÌÄå¬ches door signalen bij screening,82 werknemers weg bij crÌÄå¬ches door signalen bij screening,82 employees away from crches by signals at screening,82 werknemer weg bij crÌÄå¬ches door signaal bij screening,82 werknemer weg bij crÌÄå ¬ ch door signalen bij screening,82 employee away from crch by signals at screening
41177,Griekenland op 5 juni bankroet,Greece bankrupt on June 5,Greece went bankrupt on 5 June.,Griekenland op 5 juni bankroet,Greece bankruep on June 5,Greece go bankrupt on 5 June .
43227,De bal ligt bij het Griekse volk,The ball is with the Greek people,The ball is in the court of the Greek people,de bal liggen bij het Grieks volk,the ball be with the greek people,the ball be in the court of the greek people
43757,Griekenland officieel in gebreke bij IMF,Greece officially in default at IMF,Greece officially in default of IMF,Griekenland officieel in gebreke bij IMF,Greece officially in default at IMF,Greece officially in default of IMF
148571779,Obligaties goed spreiden,Spread bonds well,Spreading bonds well,Obligatie goed spreiden,spread bond well,spread bond well
148571912,Een muur van zorgen,A wall of worry,A wall of worries,een muur van zorg,a wall of worry,a wall of worrie
148572055,Pensioenspaarders zijn net konijnen; Erica antwoordt,Pension savers are just like rabbits; Erica answers,Pension savers are like rabbits; Erica replies,Pensioenspaarder zijn net konijn ; Erica antwoordt,Pension saver be just like rabbit ; Erica answer,Pension saver be like rabbit ; Erica reply
148572080,Over drie jaar kijkt Asscher of de flexwet echt werkt,In three years time Asscher will see if the flex act really works,"In three years time, Asscher will check whether the flex law really works.",over drie jaar kijken Asscher of de flexwet echt werken,in three year 's time Asscher will see if the flex act really work,"in three year time , Asscher will check whether the flex law really work ."
148572304,Opeens waren ze blut bij de Riagg,Suddenly they were broke at the Riagg,Suddenly they were broke with the Riagg,opeens zijn ze blutten bij de Riagg,suddenly they be break at the Riagg,suddenly they be break with the Riagg
148572309,Pinautomaat van de staat,State ATM,State ATM,Pinautomaat van de staat,State atm,State atm
148572371,"Ondernemers, daar is wat te halen","Entrepreneurs, there is something to be gained","Entrepreneurs, theres something to get there","Ondernemer , daar zijn wat te halen","Entrepreneurs , there be something to be gaine","Entrepreneurs , there be something to get there"
148572607,Opwaartse spiraal,Ascending spiral,Upward spiral,Opwaarts spiraal,Ascending spiral,Upward spiral
148572626,[Bankroet Amsterdam. Het aantal bedrijven dat faill...]*,[Bankrupt Amsterdam. The number of companies that go bankrupt ...] *,[Bankruptcy Amsterdam. The number of companies that went bankrupt...]*,[ Bankroet Amsterdam . het aantal bedrijf dat faill ... ] *,[ bankrupt Amsterdam . the number of company that go bankrupt ... ] *,[ bankruptcy Amsterdam . the number of company that go bankrupt ... ] *
150280542,Gemeente snoeit 5 miljoen minder; Door meevallers is stadskas goed gevuld,Municipality prunes 5 million less; City treasures are well stocked by windfalls,"Municipality cuts 5 million less; Because of windfalls, the citys treasury is well filled.",gemeente snoeit 5 miljoen weinig ; door meevaller zijn stadskas goed gevuld,municipality prune 5 million less ; City treasure be well stock by windfall,"municipality cut 5 million less ; because of windfall , the city treasury be well fill ."
150280818,"Ambitieus, en beloond",Ambitious and rewarded,"Ambitious, and rewarded","Ambitieus , en beloond",ambitious and rewarde,"ambitious , and rewarde"
150280838,Zorgen op Wall Street,Worry on Wall Street,Worries on Wall Street,zorgen op Wall Street,worry on Wall Street,worry on Wall Street
150281364,Arbeid loont,Labor pays off,Work pays off,arbeid loont,Labor pay off,work pay off
150281391,Sterk begin Wall Street,Sterk begin Wall Street,Strong beginning Wall Street,sterk begin Wall Street,Sterk begin wall Street,strong begin wall Street
150281393,Rutte wil adviezen,Rutte wants advice,Rutte wants advice,Rutte willen adviezen,Rutte want 's advice,Rutte want 's advice
150281460,Na eerste aanmaning stoppen geen optie; INTERVIEW Staatssecretaris Wiebes (FinanciÌÇn),No option to stop after the first reminder; INTERVIEW State Secretary Wiebes (Finance),No option to stop after the first reminder; INTERVIEW State Secretary Wiebes (Finance),na één aanmaning stoppen geen optie ; Interview staatssecretaris Wiebes ( FinanciÌÇn ),no option to stop after the first reminder ; interview State Secretary Wiebes ( finance ),no option to stop after the first reminder ; interview State Secretary Wiebes ( finance )
150281528,Richt op taksverlaging,Focus on tax reduction,Aimed at branch reduction,richt op taksverlaging,focus on tax reduction,aim at branch reduction
150281546,Hypotheek oversluiten?,Mortgage transfer?,Mortgage override?,Hypotheek oversluiten ?,Mortgage transfer ?,Mortgage override ?
150281721,Banen,Jobs,Jobs,Baan,Jobs,Jobs
150281749,Ruim 6000 banen erbij,"More than 6,000 jobs",More than 6000 jobs added,ruim 6000 ban erbij,"more than 6,000 job",more than 6000 job add
150281763,Grieken zijn weer platzak,Greeks are flat again,Greeks are flat-bagged again,Grieken zijn weer platzak,Greek be flat again,Greek be flat - bag again
150281902,AEX hervat voortgang,AEX resumes progress,AEX resumes progress,AEX hervatten voortgang,Aex resume progress,Aex resume progress
150282123,Werk in zorg onmogelijk door bezuinigingen,Work in care impossible due to spending cuts,Work in health care impossible due to budget cuts,werk in zorg onmogelijk door bezuiniging,work in care impossible due to spend cut,work in health care impossible due to budget cut
150284575,Grieken krijgen wind eurogroep van voren,Greeks get wind euro group from the front,Greeks get wind Eurogroup in front,Grieken krijgen wind eurogroep van voor,Greeks get wind euro group from the front,Greeks get wind Eurogroup in front
150284678,De overheid moet geen cent in voetbalclubs steken,The government should not spend a cent on football clubs,The government shouldnt put a penny in football clubs,de overheid moeten geen cent in voetbalclubs steken,the government should not spend a cent on football club,the government should not put a penny in football club
150284858,Restschulden nekken bouw,Residual debts neck construction,Residual debts necks construction,Restschulden nekken bouw,residual debt neck construction,residual debt neck construction
150285106,Einde voor Synergon en Wedeka,End for Synergon and Wedeka,End for Synergon and Wedeka,einde voor Synergon en Wedeka,end for Synergon and Wedeka,end for Synergon and Wedeka
150285235,Rechtsbijstand,Legal counsel,Legal aid,Rechtsbijstand,legal counsel,legal aid
150285237,OZB-aanslag,Property tax assessment,OZB attack,OZB-aanslag,property tax assessment,Ozb attack
150285424,Marktwaarde op Japanse beurs overschrijdt piek van 1989; Tokio breekt een haast mythisch record,Market value on Japanese stock market exceeds peak of 1989; Tokyo breaks an almost mythical record,Market value on Japanese stock exchange exceeds its 1989 peak; Tokyo breaks an almost mythical record,Marktwaarde op Japans beurs overschrijden piek van 1989 ; Tokio breken een haast mythisch record,market value on japanese stock market exceed 's peak of 1989 ; Tokyo break a almost mythical record,market value on japanese stock exchange exceed its 1989 peak ; Tokyo break a almost mythical record
150285703,Spaargrens,Savings limit,Savings limit,Spaargrens,savings limit,savings limit
150285805,Industrie-index stevig in de plus,Industry index firmly in the plus,Industry index firmly in the plus,Industrie-index stevig in de plus,Industry index firmly in the plus,Industry index firmly in the plus
150285850,Afwachtende Fed en matige groei drukken beurzen VS,Pending Fed and moderate growth are pushing US stock markets,Waiting Fed and moderate growth depress US stock markets,Afwachten Fed en matig groei drukken beurs VS,pend fed and moderate growth be push US stock market,wait fed and moderate growth depress US stock market
150285890,Waartoe dient het handelsverdrag?,What is the purpose of the trade agreement?,What is the purpose of the trade agreement?,Waartoe dienen het handelsverdrag ?,what be the purpose of the trade agreement ?,what be the purpose of the trade agreement ?
150286491,Snel groeiend FMO gaat ook `impact meetellen,Fast-growing FMO will also count `impact,Rapidly growing FMO will also include impact.,snel groeien FMO gaan ook `impact meetellen,fast - grow Fmo will also count ` impact,rapidly grow Fmo will also include impact .
150286500,De kosten van een `Grexit zijn veel groter dan slechts financieel,The costs of a Grexit are much greater than just financialhe costs of a Grexit are much greater thane costs of a Grexit are muc costs of a Grco,The costs of a Grexit are much greater than just financial.,de kost van een `Grexit zijn veel groot dan slechts financieel,the cost of a Grexit be much greater than just financialhe cost of a Grexit be much greater thane cost of a Grexit be muc cost of a Grco,the cost of a Grexit be much greater than just financial .
150286649,`Denemarken laat euro niet los,`Denemarken laat euro niet los,Denmark wont let go of the euro,`Denemark laten euro niet los,` Denemarken laat euro niet los,Denmark will not let go of the euro
150286741,Ook Ierse rente duikt onder 1%,Irish interest also falls below 1%,Irish interest rates also fall below 1%,ook Iers rente duikken onder 1%,irish interest also fall below 1 %,irish interest rate also fall below 1 %
150287082,Griekenland loopt zonder steun al snel financieel vast; De regering in Athene staat onder grote druk. Begin maart moeten de Grieken al leningen aflossen,Greece quickly gets stuck without support; The government in Athens is under great pressure. At the beginning of March the Greeks already have to repay loans,"Without support, Greece quickly becomes financially stagnant; the government in Athens is under great pressure. At the beginning of March the Greeks already have to repay loans.",Griekenland lopen zonder steun al snel financieel vast ; de regering in Athene staan onder groot druk . begin maart moeten de Grieken al lening aflos,Greece quickly get stuck without support ; the government in Athens be under great pressure . at the beginning of March the Greeks already have to repay loan,"without support , Greece quickly become financially stagnant ; the government in Athens be under great pressure . at the beginning of March the Greeks already have to repay loan ."
