Words,Translation,All_mean_valence,All_std_valence,All_N_valence,All_mean_arousal,All_std_arousal,All_N_arousal,All_mean_power,All_std_power,All_N_power,All_mean_age_of_acquisition,All_std_age_of_acquisition,All_N_age_of_acquisition,Men_mean_valence,Men_std_valence,Men_N_valence,Men_mean_arousal,Men_std_arousal,Men_N_arousal,Men_mean_power,Men_std_power,Men_N_power,Men_mean_age_of_acquisition,Men_std_age_of_acquisition,Men_N_age_of_acquisition,Women_mean_valence,Women_std_valence,Women_N_valence,Women_mean_arousal,Women_std_arousal,Women_N_arousal,Women_mean_power,Women_std_power,Women_N_power,Women_mean_age_of_acquisition,Women_std_age_of_acquisition,Women_N_age_of_acquisition,Freq(Log10),Freq (1E6),Length,N (%),Grammatical category
gang,corridor,3.89,0.44,64,3.27,1.22,64,3.92,0.95,64,5.13,1.93,32,3.84,0.45,32,3.53,1.08,32,3.75,1.02,32,5.31,2.36,16,3.94,0.44,32,3.00,1.32,32,4.09,0.86,32,5.38,2.22,16,2.04,110.79,4,0.0,N
gangster,gangster,2.31,1.04,64,5.45,1.01,64,5.28,1.28,64,8.71,2.53,32,2.50,1.14,32,5.34,1.18,32,5.25,1.44,32,8.31,3.05,16,2.13,0.91,32,5.56,0.80,32,5.31,1.12,32,9.44,2.16,16,0.90,7.89,8,0.0,N
gans,goose,4.25,0.76,63,4.00,1.25,64,3.58,1.21,64,5.06,1.71,32,4.22,0.83,32,3.88,1.10,32,3.44,1.27,32,5.81,2.29,16,4.29,0.69,31,4.13,1.39,32,3.72,1.14,32,4.75,1.77,16,0.77,5.88,4,0.0,N
gapen,to yawn,3.41,0.79,64,3.08,1.42,64,3.28,1.03,64,6.06,2.50,32,3.44,0.95,32,2.97,1.49,32,3.19,1.06,32,6.81,2.83,16,3.38,0.61,32,3.19,1.35,32,3.38,1.01,32,5.69,2.47,16,0.10,1.26,5,0.0,V
garnaal,shrimp,4.23,1.02,64,3.53,1.36,64,2.73,1.21,64,6.77,2.38,32,4.38,0.83,32,3.44,1.29,32,2.41,1.10,32,6.31,2.47,16,4.09,1.17,32,3.63,1.43,32,3.06,1.24,32,7.56,2.48,16,0.26,1.83,7,0.0,N
gas,gas,3.44,1.11,64,3.83,1.29,64,4.34,1.18,64,7.35,1.92,32,3.34,0.90,32,4.03,0.93,32,4.19,1.12,32,7.13,2.39,16,3.53,1.29,32,3.63,1.56,32,4.50,1.24,32,7.88,1.67,16,1.42,26.41,3,0.0,N
gasmasker,gas mask,2.50,1.01,64,4.09,1.52,64,4.73,1.26,64,8.55,2.05,32,2.50,0.76,32,4.56,1.34,32,4.66,1.36,32,8.13,2.58,16,2.50,1.22,32,3.63,1.56,32,4.81,1.18,32,9.38,1.89,16,-0.18,0.66,9,0.0,N
gast,guest,4.89,0.86,64,3.81,0.99,64,3.88,1.02,64,6.16,2.08,32,4.78,0.66,32,3.91,0.93,32,3.69,1.03,32,6.31,2.41,16,5.00,1.02,32,3.72,1.05,32,4.06,0.98,32,6.25,1.95,16,1.75,56.26,4,0.0,N
gastvrij,hospitable,5.86,0.83,64,4.24,1.00,63,4.38,1.32,64,8.19,2.14,32,5.78,0.83,32,4.06,0.89,31,4.00,1.19,32,8.06,2.49,16,5.94,0.84,32,4.41,1.07,32,4.75,1.34,32,8.63,2.06,16,0.14,1.37,8,0.4,A
gat,hole,3.20,0.62,64,3.47,1.19,64,3.77,0.96,64,4.61,1.82,32,3.38,0.61,32,3.66,0.90,32,3.88,0.87,32,5.19,2.40,16,3.03,0.59,32,3.28,1.42,32,3.66,1.04,32,4.38,1.54,16,1.70,49.97,3,0.0,N
gauw,soon,4.27,0.78,64,4.77,1.24,64,4.02,0.93,64,6.35,2.54,32,4.22,0.75,32,4.81,1.15,32,3.69,0.97,32,6.56,3.14,16,4.31,0.82,32,4.72,1.35,32,4.34,0.79,32,6.44,2.10,16,1.78,60.55,4,0.0,A
gazon,lawn,4.66,0.91,64,2.91,1.00,64,3.38,1.13,63,6.90,2.10,32,4.44,0.76,32,2.97,0.86,32,3.10,1.14,31,7.13,2.25,16,4.88,1.01,32,2.84,1.14,32,3.66,1.07,32,7.06,2.49,16,0.49,3.09,5,0.4,N
geanimeerd,animated,5.38,0.65,64,5.08,1.07,64,4.51,0.93,63,10.74,2.92,32,5.38,0.61,32,4.97,1.00,32,4.31,0.97,32,10.38,3.05,16,5.38,0.71,32,5.19,1.15,32,4.71,0.86,31,11.44,2.99,16,-1.34,0.05,10,0.4,A
gebak,cake,5.33,0.93,64,3.44,1.23,63,3.73,0.90,64,5.84,2.13,32,5.28,0.85,32,3.65,1.11,31,3.72,0.85,32,6.19,2.86,16,5.38,1.01,32,3.25,1.32,32,3.75,0.95,32,5.94,2.05,16,0.33,2.15,5,0.4,N
gebeente,skeleton,3.37,0.79,63,3.30,1.31,64,4.24,0.96,63,8.55,2.68,32,3.47,0.76,32,3.69,1.15,32,4.16,1.02,32,7.50,2.80,16,3.26,0.82,31,2.91,1.35,32,4.32,0.91,31,9.88,2.19,16,-0.39,0.41,8,0.9,N
geboorte,birth,5.83,1.03,64,5.31,1.37,64,4.66,1.51,64,5.61,2.04,32,5.50,1.02,32,5.00,1.39,32,4.69,1.69,32,6.19,2.54,16,6.16,0.95,32,5.63,1.29,32,4.63,1.34,32,5.50,2.28,16,1.30,19.90,8,0.0,N
gebouw,building,4.19,0.64,64,3.31,1.33,64,4.55,1.18,64,5.55,2.63,32,4.25,0.57,32,3.59,1.21,32,4.25,1.11,32,6.38,3.74,16,4.13,0.71,32,3.03,1.40,32,4.84,1.19,32,5.13,1.31,16,1.83,68.26,6,0.0,N
gebrek,lack,2.58,0.75,64,3.25,1.11,64,2.84,1.07,64,7.23,2.00,32,2.72,0.63,32,3.41,1.10,32,2.91,1.06,32,6.75,2.74,16,2.44,0.84,32,3.09,1.12,32,2.78,1.10,32,8.13,1.54,16,1.15,14.02,6,0.0,N
gebrekkig,deficient,2.47,0.59,64,3.44,1.09,63,2.84,1.43,64,8.94,2.22,32,2.41,0.61,32,3.52,0.96,31,3.00,1.34,32,8.56,2.53,16,2.53,0.57,32,3.38,1.21,32,2.69,1.51,32,9.63,2.13,16,-0.14,0.73,9,0.4,A
gebroken,broken,2.42,0.75,64,3.91,1.50,64,3.16,1.50,64,5.55,2.25,32,2.50,0.76,32,4.06,1.44,32,3.53,1.54,32,6.00,2.73,16,2.34,0.75,32,3.75,1.57,32,2.78,1.39,32,5.50,2.28,16,1.82,66.04,8,0.0,A
gedienstig,obliging,3.98,0.97,62,3.55,1.35,62,2.94,1.44,62,9.87,2.90,32,3.91,0.96,32,3.90,1.42,30,2.84,1.39,31,9.56,3.08,16,4.07,0.98,30,3.22,1.21,32,3.03,1.49,31,10.56,3.03,16,-0.94,0.11,10,2.7,A
gedisciplineerd,disciplined,5.30,0.97,64,4.10,1.23,63,5.22,1.51,64,9.94,2.78,32,5.13,1.07,32,3.90,1.27,31,4.81,1.67,32,10.00,3.27,16,5.47,0.84,32,4.28,1.17,32,5.63,1.21,32,10.19,2.54,16,-0.07,0.85,15,0.4,A
geduldig,patient,5.52,0.87,64,2.86,1.08,64,4.52,1.33,64,7.39,3.02,32,5.28,0.92,32,2.81,1.03,32,4.13,1.34,32,8.38,3.59,16,5.75,0.76,32,2.91,1.15,32,4.91,1.23,32,6.81,2.61,16,0.84,6.95,8,0.0,A
gedwee,meekly,3.40,0.92,57,2.88,1.09,57,2.85,1.46,47,10.88,3.02,26,3.33,0.96,27,2.96,1.15,26,2.57,1.33,21,10.92,3.60,12,3.47,0.90,30,2.81,1.05,31,3.08,1.55,26,11.14,2.66,14,-0.36,0.43,6,16.6,A
geel,yellow,4.36,0.72,64,3.64,1.29,64,3.73,1.07,64,3.77,1.54,32,4.38,0.55,32,3.88,1.13,32,3.50,1.16,32,3.94,1.69,16,4.34,0.87,32,3.41,1.41,32,3.97,0.93,32,3.81,1.60,16,0.98,9.56,4,0.0,A
geelzucht,jaundice,2.03,0.80,63,3.57,1.36,63,3.57,1.42,63,10.29,3.25,32,2.19,0.79,31,3.68,1.33,31,3.63,1.45,32,10.00,4.05,16,1.88,0.79,32,3.47,1.41,32,3.52,1.41,31,10.94,2.52,16,-0.53,0.30,9,1.3,N
geërgerd,annoyed,2.22,0.65,64,5.09,0.87,64,4.13,1.42,64,9.00,2.34,32,2.31,0.69,32,5.16,0.85,32,4.03,1.15,32,9.25,3.07,16,2.13,0.61,32,5.03,0.90,32,4.22,1.66,32,9.13,1.96,16,-0.19,0.64,8,0.0,A
geest,spirit,3.81,1.11,64,3.89,1.53,64,4.63,1.42,64,6.77,2.04,32,3.88,0.91,32,4.31,1.33,32,4.53,1.61,32,6.75,2.65,16,3.75,1.30,32,3.47,1.63,32,4.72,1.22,32,7.19,1.94,16,1.98,94.97,5,0.0,N
geestdriftig,enthusiastic,4.45,1.41,62,5.09,1.23,64,4.74,1.39,62,11.17,2.59,31,4.44,1.29,32,4.81,1.26,32,4.32,1.35,31,11.27,2.71,15,4.47,1.55,30,5.38,1.16,32,5.16,1.32,31,11.38,2.75,16,-0.69,0.21,12,2.2,A
geeuw,yawn,3.47,0.69,64,2.94,1.28,64,3.31,1.07,64,5.65,1.64,32,3.41,0.67,32,3.09,1.30,32,3.22,0.97,32,6.13,2.60,16,3.53,0.72,32,2.78,1.26,32,3.41,1.16,32,5.63,1.41,16,-0.60,0.25,5,0.0,N
geeuwen,to yawn,3.46,0.82,63,2.94,1.31,64,3.33,1.10,64,5.45,1.63,32,3.47,0.72,32,2.81,1.20,32,3.28,1.14,32,6.19,2.07,16,3.45,0.93,31,3.06,1.41,32,3.38,1.07,32,5.19,2.04,16,-0.80,0.16,7,0.4,V
gefascineerd,fascinated,5.53,0.78,64,4.98,1.32,64,4.88,1.02,64,10.13,2.62,32,5.44,0.88,32,4.53,1.44,32,4.81,0.93,32,10.13,3.03,16,5.63,0.66,32,5.44,1.01,32,4.94,1.11,32,10.44,2.45,16,0.38,2.38,12,0.0,A
gefrustreerd,frustrated,2.19,0.77,64,5.42,1.15,64,4.05,1.59,64,9.35,3.04,32,2.13,0.87,32,5.44,1.27,32,3.97,1.64,32,9.19,3.47,16,2.25,0.67,32,5.41,1.04,32,4.13,1.56,32,9.75,2.67,16,0.51,3.27,12,0.0,A
gehandicapt,handicapped,2.38,0.90,64,3.47,1.19,64,3.19,1.53,64,7.23,2.03,32,2.56,0.80,32,3.44,1.41,32,3.22,1.48,32,7.81,2.59,16,2.19,0.97,32,3.50,0.95,32,3.16,1.61,32,7.00,1.83,16,0.41,2.58,11,0.0,A
geheim,secret,3.84,0.89,64,4.03,1.53,64,4.63,1.16,64,5.52,1.71,32,3.94,0.88,32,4.25,1.41,32,4.59,1.27,32,5.94,2.41,16,3.75,0.92,32,3.81,1.64,32,4.66,1.07,32,5.50,1.63,16,2.01,101.76,6,0.0,N
geheugen,memory,5.02,0.97,64,4.35,1.31,63,4.59,1.20,64,7.55,2.06,32,5.06,0.91,32,4.35,1.20,31,4.31,1.38,32,7.75,2.74,16,4.97,1.03,32,4.34,1.43,32,4.88,0.94,32,7.69,1.70,16,1.44,27.74,8,0.4,N
gehoorzaam,obedient,4.77,1.14,64,3.41,1.22,64,3.08,1.43,64,6.03,2.24,32,4.44,1.27,32,3.53,1.11,32,2.72,1.25,32,6.50,2.68,16,5.09,0.89,32,3.28,1.33,32,3.44,1.52,32,6.00,2.42,16,0.71,5.10,10,0.0,A
gehoorzamen,to obey,4.53,1.25,64,3.36,1.19,64,2.94,1.55,64,5.94,2.06,32,4.25,1.08,32,3.44,1.01,32,2.66,1.36,32,6.00,2.45,16,4.81,1.35,32,3.28,1.35,32,3.22,1.70,32,6.25,2.21,16,0.96,9.10,11,0.0,V
gehumeurd,tempered,3.31,1.28,64,4.20,1.17,64,4.17,1.09,64,8.60,2.34,31,3.72,1.35,32,4.28,1.25,32,4.13,1.18,32,9.00,2.78,15,2.91,1.09,32,4.13,1.10,32,4.22,1.01,32,8.56,2.28,16,-0.23,0.59,9,0.4,A
geil,horny,4.86,1.32,64,6.11,0.91,64,5.35,1.21,63,11.39,3.27,32,5.19,1.23,32,6.25,0.84,32,5.63,0.94,32,10.81,3.71,16,4.53,1.34,32,5.97,0.97,32,5.06,1.39,31,12.13,2.68,16,1.07,11.80,4,0.4,A
geïrriteerd,irritated,2.33,0.82,64,5.16,1.20,64,4.20,1.34,64,8.68,2.86,32,2.41,0.98,32,4.88,1.41,32,3.97,1.38,32,8.94,3.60,16,2.25,0.62,32,5.44,0.88,32,4.44,1.27,32,8.75,2.27,16,-0.69,0.21,11,0.0,A
geiser,geyser,4.27,0.81,63,4.76,1.44,58,4.76,0.99,59,9.54,3.47,29,4.29,0.64,31,5.03,1.09,29,4.81,1.03,32,9.00,4.04,15,4.25,0.95,32,4.48,1.70,29,4.70,0.95,27,10.43,2.79,14,-0.56,0.27,6,6.7,N
geit,goat,4.16,0.72,64,3.78,1.25,64,3.39,1.02,64,4.52,1.91,32,4.19,0.59,32,3.84,0.95,32,3.41,1.01,32,4.75,2.05,16,4.13,0.83,32,3.72,1.51,32,3.38,1.04,32,4.56,2.10,16,0.91,8.07,4,0.0,N
gejuich,cheer,5.75,0.76,64,5.75,1.18,64,5.09,1.00,64,6.68,1.96,32,5.53,0.72,32,5.63,1.18,32,4.94,1.01,32,6.69,2.65,16,5.97,0.74,32,5.88,1.18,32,5.25,0.98,32,7.06,1.77,16,-0.11,0.78,7,0.0,N
gek,crazy,3.27,1.07,64,5.23,1.08,64,4.11,1.45,64,5.35,1.72,32,2.94,0.91,32,5.03,1.18,32,3.81,1.60,32,5.88,2.60,16,3.59,1.13,32,5.44,0.95,32,4.41,1.24,32,5.25,1.34,16,2.73,542.72,3,0.0,A
gekweld,anguished,2.14,0.77,64,4.38,1.41,64,3.48,1.50,64,9.45,2.35,32,2.13,0.87,32,4.34,1.41,32,3.75,1.41,32,9.50,2.76,16,2.16,0.68,32,4.41,1.43,32,3.22,1.56,32,9.69,2.18,16,0.27,1.88,7,0.0,A
gekwetst,hurt,2.08,0.80,64,4.00,1.41,64,3.17,1.34,64,7.45,2.45,32,2.16,0.77,32,4.06,1.48,32,3.13,1.43,32,7.13,2.80,16,2.00,0.84,32,3.94,1.37,32,3.22,1.26,32,8.13,2.36,16,1.23,16.88,8,0.0,A
gelaten,resigned,3.63,1.02,63,3.53,1.55,64,3.47,1.31,64,9.10,2.66,31,3.59,0.91,32,3.47,1.61,32,3.44,1.39,32,9.07,2.49,15,3.68,1.14,31,3.59,1.52,32,3.50,1.24,32,9.38,2.96,16,1.52,32.84,7,0.9,A
geld,money,5.34,0.96,64,4.17,1.41,64,5.14,1.17,64,5.16,1.75,32,5.00,0.98,32,4.53,1.11,32,4.94,1.37,32,5.75,2.57,16,5.69,0.82,32,3.81,1.60,32,5.34,0.90,32,4.94,1.18,16,2.90,793.61,4,0.0,N
gelei,jelly,4.14,0.76,63,3.03,1.23,64,3.23,1.03,62,8.42,3.00,32,4.19,0.54,31,3.50,1.05,32,3.27,1.11,30,8.31,3.14,16,4.09,0.93,32,2.56,1.24,32,3.19,0.97,32,8.94,3.28,16,-0.15,0.71,5,1.3,N
geliefd,beloved,6.28,0.77,64,4.27,1.39,64,5.14,1.19,64,7.42,2.20,32,6.09,0.73,32,4.47,1.41,32,4.75,1.22,32,7.50,3.01,16,6.47,0.76,32,4.06,1.37,32,5.53,1.05,32,7.75,1.84,16,0.86,7.23,7,0.0,A
geloof,faith,4.28,1.30,64,3.47,1.54,64,4.59,1.39,64,6.13,2.08,32,3.81,1.26,32,3.53,1.61,32,4.34,1.56,32,6.19,2.76,16,4.75,1.19,32,3.41,1.50,32,4.84,1.17,32,6.44,1.79,16,2.60,395.20,6,0.0,N
geluk,happiness,6.39,0.79,64,4.73,1.44,64,5.41,1.18,64,6.26,1.81,32,6.38,0.71,32,4.66,1.43,32,5.13,1.34,32,6.69,2.33,16,6.41,0.87,32,4.81,1.47,32,5.69,0.93,32,6.19,1.76,16,2.22,166.02,5,0.0,N
gelukkig,happy,6.61,0.63,64,4.64,1.46,64,5.36,1.20,64,5.77,1.43,32,6.50,0.72,32,4.38,1.70,32,4.88,1.29,32,5.94,2.05,16,6.72,0.52,32,4.91,1.15,32,5.84,0.88,32,6.00,1.55,16,2.31,204.92,8,0.0,A
gelukkigheid,happiness,6.48,0.62,63,5.08,1.38,63,5.27,1.14,64,7.93,2.39,31,6.25,0.62,32,4.71,1.51,31,4.91,1.33,32,8.50,2.76,16,6.71,0.53,31,5.44,1.16,32,5.63,0.79,32,7.67,2.26,15,-1.64,0.02,12,1.3,N
gember,ginger,4.14,0.83,64,3.27,1.38,63,4.09,1.16,64,11.61,3.97,32,4.25,0.92,32,3.35,1.23,31,3.88,1.36,32,11.50,4.31,16,4.03,0.74,32,3.19,1.53,32,4.31,0.90,32,11.94,3.70,16,-0.12,0.75,6,0.4,N
gemeen,common,2.09,0.79,64,4.83,1.05,64,4.94,1.01,64,5.58,2.35,32,2.38,0.79,32,4.81,1.03,32,4.91,1.00,32,6.06,3.19,16,1.81,0.69,32,4.84,1.08,32,4.97,1.03,32,5.50,1.83,16,1.66,45.37,6,0.0,A
gemiddeld,average,3.98,0.77,64,3.64,0.86,64,3.94,0.75,64,7.61,1.98,32,3.88,0.75,32,3.75,0.67,32,3.81,0.59,32,7.50,2.66,16,4.09,0.78,32,3.53,1.02,32,4.06,0.88,32,8.06,1.57,16,0.54,3.43,9,0.0,A
gen,gene,4.30,0.71,64,3.75,1.22,64,4.81,1.34,64,11.61,2.91,32,4.31,0.74,32,3.72,1.20,32,4.78,1.56,32,11.31,3.46,16,4.28,0.68,32,3.78,1.26,32,4.84,1.11,32,12.13,2.31,16,0.29,1.97,3,0.0,N
genadeloos,merciless,2.27,1.06,64,4.78,1.40,64,5.11,1.75,64,9.32,2.30,32,2.38,1.10,32,4.94,1.13,32,5.16,1.80,32,9.00,2.85,16,2.16,1.02,32,4.63,1.62,32,5.06,1.72,32,10.00,2.00,16,0.23,1.69,10,0.0,A
genadig,gracious,5.02,1.08,64,3.81,1.17,64,4.06,1.32,63,9.23,2.88,31,4.91,1.06,32,3.53,1.05,32,4.09,1.20,32,8.94,3.07,16,5.13,1.10,32,4.09,1.23,32,4.03,1.45,31,9.87,2.88,15,0.73,5.35,7,0.9,A
gène,embarrassment,2.90,0.79,61,3.73,1.27,62,3.29,1.39,58,10.87,2.65,31,2.83,0.75,30,3.73,1.20,30,3.28,1.13,29,10.53,3.29,15,2.97,0.84,31,3.72,1.35,32,3.31,1.63,29,11.50,2.16,16,-0.60,0.25,4,5.4,N
genie,genius,5.88,0.79,64,4.89,1.22,64,5.58,1.12,64,7.74,2.27,32,5.88,0.79,32,4.84,1.08,32,5.28,1.30,32,7.25,2.72,16,5.88,0.79,32,4.94,1.37,32,5.88,0.83,32,8.56,1.93,16,1.40,25.22,5,0.0,N
geniep,sly,2.83,0.85,63,4.10,1.16,62,3.45,1.15,62,9.06,3.05,32,3.13,0.91,32,4.23,1.02,31,3.78,1.18,32,8.56,3.27,16,2.52,0.68,31,3.97,1.28,31,3.10,1.03,30,9.88,2.94,16,-0.46,0.34,6,2.2,N
genot,enjoyment,6.13,0.83,64,4.91,1.40,64,5.13,1.15,64,9.23,2.65,32,6.06,0.84,32,4.72,1.55,32,4.81,1.38,32,8.63,3.03,16,6.19,0.82,32,5.09,1.23,32,5.44,0.76,32,10.00,2.10,16,0.91,8.12,5,0.0,N
genre,genre,4.36,0.68,64,3.41,1.02,64,3.97,0.76,64,9.71,2.61,32,4.31,0.64,32,3.59,0.87,32,3.84,0.81,32,9.13,2.83,16,4.41,0.71,32,3.22,1.13,32,4.09,0.69,32,10.56,2.39,16,0.12,1.30,5,0.0,N
geraamte,skeleton,2.94,0.97,64,2.67,1.38,64,3.73,1.38,64,7.39,2.25,32,3.09,0.96,32,3.06,1.39,32,3.81,1.47,32,7.44,2.76,16,2.78,0.97,32,2.28,1.28,32,3.66,1.31,32,7.75,2.29,16,-0.15,0.71,8,0.0,N
geregeld,regular,4.88,0.85,64,3.92,1.21,64,4.56,1.01,64,7.97,2.68,32,4.78,0.87,32,4.03,1.06,32,4.31,1.12,32,8.13,3.30,16,4.97,0.82,32,3.81,1.35,32,4.81,0.82,32,8.13,2.25,16,1.76,57.38,8,0.0,A
geremd,inhibited,3.00,0.62,64,3.00,1.07,64,3.00,1.01,64,8.10,2.49,32,3.06,0.76,32,3.19,1.15,32,2.91,1.00,32,7.69,2.70,16,2.94,0.44,32,2.81,0.97,32,3.09,1.03,32,8.81,2.46,16,-0.28,0.53,6,0.0,A
gering,small,3.27,0.70,64,3.14,1.03,63,3.16,1.07,64,9.58,3.34,32,3.38,0.79,32,3.16,1.00,31,3.41,0.95,32,8.88,3.74,16,3.16,0.57,32,3.13,1.07,32,2.91,1.15,32,10.56,2.85,16,-0.02,0.96,6,0.4,A
gerst,barley,4.15,0.51,62,3.11,1.17,62,3.62,1.08,60,9.25,2.63,29,4.19,0.54,32,3.32,0.94,31,3.29,1.16,31,9.21,3.29,14,4.10,0.48,30,2.90,1.35,31,3.97,0.87,29,9.67,2.35,15,-0.30,0.50,5,4.9,N
geschenk,gift,5.84,0.88,64,4.33,1.21,64,4.23,1.05,64,5.94,2.06,32,5.69,0.90,32,4.41,1.10,32,3.91,1.15,32,6.06,2.67,16,6.00,0.84,32,4.25,1.32,32,4.56,0.84,32,6.25,2.14,16,1.27,18.75,8,0.0,N
geschikt,suitable,5.55,0.78,64,4.05,1.03,64,4.73,1.03,64,7.61,2.12,32,5.50,0.80,32,4.16,0.85,32,4.41,1.01,32,7.63,2.36,16,5.59,0.76,32,3.94,1.19,32,5.06,0.95,32,7.94,2.29,16,1.31,20.47,8,0.0,A
geschil,dispute,2.83,0.61,64,4.63,1.44,64,4.16,1.32,64,10.20,3.43,30,2.81,0.64,32,4.84,1.25,32,3.78,1.58,32,9.00,3.35,14,2.84,0.57,32,4.41,1.60,32,4.53,0.88,32,11.25,3.24,16,0.07,1.17,7,0.4,N
gesel,scourge,2.66,1.21,56,4.61,1.15,56,4.42,1.50,48,10.00,2.94,20,2.62,0.98,26,4.70,1.03,27,3.96,1.57,25,9.75,3.62,12,2.70,1.39,30,4.52,1.27,29,4.91,1.28,23,10.38,1.60,8,-0.34,0.46,5,19.3,N
gesloten,closed,3.03,0.73,64,2.83,1.16,64,3.89,1.36,64,5.52,1.15,32,2.91,0.59,32,3.09,1.17,32,4.03,1.40,32,5.69,1.58,16,3.16,0.85,32,2.56,1.11,32,3.75,1.32,32,5.63,1.20,16,1.72,52.32,8,0.0,A
gesofisticeerd,sophisticated,5.34,0.81,53,3.98,1.14,51,4.85,1.17,53,11.84,3.42,25,5.34,0.72,29,3.96,1.04,26,4.59,1.27,29,11.64,3.71,14,5.33,0.92,24,4.00,1.26,25,5.17,0.96,24,12.09,3.18,11,-0.86,0.14,14,18.4,A
gesp,buckle,4.02,0.55,64,3.41,1.27,63,4.08,1.06,62,8.07,2.74,30,4.03,0.40,32,3.66,0.94,32,3.97,1.22,31,8.73,3.43,15,4.00,0.67,32,3.16,1.51,31,4.19,0.87,31,7.80,2.27,15,-0.02,0.96,4,2.2,N
gespannen,tense,2.72,0.58,64,5.58,0.94,64,3.86,1.32,64,7.77,2.19,32,2.78,0.61,32,5.56,1.08,32,3.81,1.20,32,8.25,2.77,16,2.66,0.55,32,5.59,0.80,32,3.91,1.44,32,7.63,1.86,16,1.25,17.81,9,0.0,A
gespierd,muscular,5.59,0.87,64,5.08,1.26,64,5.44,1.04,64,6.81,1.80,32,5.56,0.95,32,5.31,1.03,32,5.25,1.24,32,7.00,2.28,16,5.63,0.79,32,4.84,1.44,32,5.63,0.75,32,6.94,1.73,16,0.20,1.60,8,0.0,A
getalenteerd,talented,6.20,0.80,64,4.88,1.20,64,5.55,0.91,64,8.03,2.15,32,6.06,0.95,32,4.94,1.16,32,5.38,0.94,32,7.88,2.39,16,6.34,0.60,32,4.81,1.26,32,5.72,0.85,32,8.50,2.22,16,0.57,3.75,12,0.0,A
getto,ghetto,2.53,0.89,64,5.09,1.22,64,4.58,1.49,64,10.60,3.04,31,2.59,0.80,32,4.91,1.38,32,4.75,1.39,32,10.44,3.71,16,2.47,0.98,32,5.28,1.02,32,4.41,1.58,32,11.07,2.34,15,0.59,3.91,5,0.4,N
geul,gully,3.59,0.68,56,3.11,1.26,57,3.67,0.98,58,8.61,3.03,28,3.67,0.76,30,3.24,1.12,29,3.66,0.94,29,8.79,3.87,14,3.50,0.58,26,2.96,1.40,28,3.69,1.04,29,8.43,2.03,14,0.08,1.21,4,10.8,N
geur,odor,4.42,0.83,64,3.81,1.11,63,4.39,0.95,64,5.45,1.84,32,4.41,0.80,32,3.94,0.96,31,4.47,1.02,32,5.75,2.65,16,4.44,0.88,32,3.69,1.23,32,4.31,0.90,32,5.56,1.59,16,1.37,23.51,4,0.4,N
gevaar,danger,2.13,0.85,64,5.50,1.17,64,5.28,1.20,64,5.61,1.78,32,2.28,0.96,32,5.56,1.22,32,5.13,1.10,32,6.19,2.43,16,1.97,0.69,32,5.44,1.13,32,5.44,1.29,32,5.44,1.67,16,1.96,91.54,6,0.0,N
gevaarlijk,dangerous,2.31,0.79,64,5.72,0.93,64,5.30,1.19,64,5.39,2.25,32,2.50,0.67,32,5.72,1.05,32,5.22,1.18,32,6.00,3.22,16,2.13,0.87,32,5.72,0.81,32,5.38,1.21,32,5.19,1.47,16,1.97,92.27,10,0.0,A
gevangen,captive,2.03,0.69,64,3.78,1.71,64,3.52,1.89,64,5.77,1.96,32,2.16,0.72,32,3.94,1.68,32,3.91,1.94,32,6.38,2.68,16,1.91,0.64,32,3.63,1.76,32,3.13,1.77,32,5.63,1.89,16,1.70,50.61,8,0.0,A
gevangenis,prison,2.08,0.84,64,4.19,1.76,64,4.67,1.87,64,5.68,1.92,32,2.25,0.76,32,4.09,1.91,32,4.69,1.80,32,6.50,2.76,16,1.91,0.89,32,4.28,1.63,32,4.66,1.96,32,5.25,1.24,16,2.02,104.90,10,0.0,N
gevat,sharply,5.03,0.94,64,4.42,1.18,64,4.63,1.08,64,10.06,2.85,32,5.06,0.95,32,4.41,1.19,32,4.38,1.29,32,8.94,2.77,16,5.00,0.95,32,4.44,1.19,32,4.88,0.75,32,11.31,2.41,16,0.46,2.88,5,0.0,A
gevecht,battle,2.27,0.91,64,6.16,0.84,64,5.33,1.11,64,5.71,1.62,32,2.53,0.88,32,6.13,0.94,32,5.13,1.41,32,6.31,2.57,16,2.00,0.88,32,6.19,0.74,32,5.53,0.67,32,5.63,1.67,16,1.69,48.98,7,0.0,N
gevel,facade,4.22,0.52,64,3.03,1.31,64,4.09,0.99,64,8.52,2.87,32,4.22,0.49,32,3.22,1.21,32,3.88,1.10,32,8.06,3.45,16,4.22,0.55,32,2.84,1.39,32,4.31,0.82,32,9.25,2.27,16,-0.39,0.41,5,0.0,N
geven,to give,5.28,0.90,64,4.50,1.05,64,4.19,1.22,64,4.26,1.48,32,5.22,1.01,32,4.41,0.95,32,3.72,1.37,32,4.75,2.21,16,5.34,0.79,32,4.59,1.16,32,4.66,0.83,32,4.19,1.52,16,2.68,475.61,5,0.0,V
gevoelig,sensitive,4.66,1.00,64,4.19,1.14,64,3.23,1.09,64,7.45,2.95,32,4.72,1.02,32,4.28,1.22,32,3.34,1.15,32,7.19,3.35,16,4.59,0.98,32,4.09,1.06,32,3.13,1.04,32,8.00,2.68,16,1.31,20.33,8,0.0,A
